Re  n  average_num_mergers  average_highest_mass  median_num_mergers  median_highest_mass  standard_dev_number standrad_dev_mass 
1.3 0.9 4.3 25.828130391916794 5.0 24.25513734942438 1.1874342087037917 5.063487688491012
1.5 0.9 2.5 20.960034492378835 2.0 19.95131677696967 1.2041594578792296 8.337340108994198
1.7 0.9 3.8 23.402210622923786 4.0 22.76194950529313 2.1354156504062622 8.097747400213775
1.9 0.9 1.5 13.508900027274631 1.0 12.481216137647131 1.6278820596099706 6.079024138175401
2.1 0.9 2.1 18.671190375291726 2.0 19.696297550943648 1.1357816691600549 6.215348557292567
2.3 0.9 1.3 14.543884887591208 1.0 11.382177181897077 1.1 8.491734392774266
2.5 0.9 0.9 18.93363544109024 0.5 15.333395145355924 1.044030650891055 9.338262314680053
2.7 0.9 0.3 11.140804600479635 0.0 8.815577075206882 0.45825756949558405 7.506542559290347
0.1 1.1 30.4 58.60315683812992 29.5 56.9737849984199 3.9293765408777 4.677221443828419
0.3 1.1 18.9 49.66196821214872 20.0 50.15474109034323 4.846648326421054 3.0902443228423744
0.5 1.1 12.1 42.926259827484095 12.5 43.97717693378257 3.6999999999999997 6.802825167322749
0.7 1.1 8.1 32.4821848031852 8.5 30.828661444804943 2.6248809496813372 6.940677474422053
0.9 1.1 7.1 33.28454892644924 7.5 32.51577310107989 2.118962010041709 2.5962511084361006
1.1 1.1 4.9 28.433467397591084 4.0 26.4024623646308 3.3000000000000003 11.376257489848808
1.3 1.1 4.7 28.666933758458715 4.5 28.93769522797524 1.676305461424021 7.075357837511449
1.5 1.1 4.0 21.634298894813252 4.0 23.167128114286875 1.7320508075688772 7.360655085123633
1.7 1.1 3.6 22.992080218291598 3.5 22.863315085724768 1.685229954635272 6.853120479123655
1.9 1.1 2.1 17.68157190087633 2.0 14.484549215260841 1.7578395831246945 9.012818678475126
2.1 1.1 2.1 22.102219463482573 2.0 21.727680414716474 1.044030650891055 4.886994436447824
2.3 1.1 0.9 12.03505513799438 1.0 9.33263603297883 0.7000000000000001 5.913593728408733
2.5 1.1 1.3 17.224226881557513 1.5 12.012685616135347 1.004987562112089 11.914778525662998
2.7 1.1 0.5 14.01416198928609 0.0 14.880417520612585 0.6708203932499369 6.7780272108100545
2.9 1.1 0.9 13.763994917647631 0.5 14.99908499269478 1.044030650891055 7.910999879357528
0.1 1.3 30.8 58.41889218565782 28.0 57.83916689971487 4.791659420284375 2.658606495331489
0.3 1.3 18.5 49.8293191535537 19.0 49.77722655070905 4.904079934095692 2.583196276327413
0.5 1.3 11.3 43.02234231165748 11.0 42.086664847207615 3.001666203960727 5.813442574050499
0.7 1.3 7.9 33.46031426475401 6.0 31.601721376880846 4.3 5.69180453702999
0.9 1.3 5.4 32.43675561195503 5.0 32.41491798328494 2.2 10.783884233779295
1.1 1.3 3.9 30.307586169125415 3.0 29.366032588091656 1.7 10.720124398276056
1.3 1.3 3.9 28.07998214484426 4.0 28.484436097689574 1.3 8.174761561310909
1.5 1.3 3.6 24.594119966441742 4.0 23.427893585172097 1.4282856857085702 6.347513661285934
1.7 1.3 3.6 22.77980786193352 2.5 24.69276008661238 2.0591260281974 9.49784175724569
1.9 1.3 2.2 14.13161699139755 2.0 13.607375972106745 1.469693845669907 6.016735384352491
2.1 1.3 2.5 19.775561494512665 2.5 20.062125108960558 1.5 7.8898598794645585
2.3 1.3 1.9 18.265400947053553 2.0 17.118595840123707 1.2206555615733703 8.149126617527838
2.5 1.3 2.1 14.293497159176976 2.0 14.990948323076694 1.374772708486752 5.473556098289966
2.7 1.3 1.1 12.279875508275776 1.0 9.937574466062216 0.7000000000000001 5.1409909037913435
2.9 1.3 0.8 11.827157632945259 0.5 8.87254615149061 0.9797958971132713 7.347806902223849
3.1 1.3 1.4 17.12397253351849 1.0 14.91899786478052 1.019803902718557 7.488514966333722
0.1 1.5 28.5 59.00463296367376 28.5 57.43314834358833 9.200543462209176 5.002877777657223
0.3 1.5 16.2 49.769510662879824 16.5 51.16559123218197 2.2271057451320084 4.531186393617666
0.5 1.5 13.6 46.270721285562736 13.0 44.854508340427245 3.8781438859330635 11.034637971143525
0.7 1.5 8.3 36.26678063159948 8.5 35.757475514684074 2.41039415863879 5.545425585572206
