Re  n  average_num_mergers  average_highest_mass  median_num_mergers  median_highest_mass  standard_dev_number standrad_dev_mass 
0.1 1 28.4 56.88748573163124 27.5 57.00797622592458 5.276362383309167 1.9790700181441612
0.6 1 10.1 42.79033220405483 10.0 41.987688990955775 2.118962010041709 2.5313866393267115
1.1 1 6.0 25.456005047208595 5.0 24.245219323714778 2.932575659723036 9.77809759145402
1.6 1 2.3 19.891446568219557 1.5 22.800497731303956 1.4866068747318506 7.662553947910384
2.1 1 2.6 16.861431358779544 2.5 16.163618059811945 0.66332495807108 4.35863122598916
2.6 1 0.9 14.678506140422456 1.0 13.342494619244999 0.9433981132056604 8.318183578185423
3.1 1 0.7 11.686131681337349 0.5 8.791154895176689 0.7810249675906655 7.178578450748076
3.6 1 0.2 10.407106458558092 0.0 8.558984301108092 0.4000000000000001 4.863740432536694
4.1 1 0.5 10.977755216078958 0.0 9.780036870212273 0.806225774829855 5.6221470003516405
4.6 1 0.1 9.59495110333356 0.0 8.958956688563282 0.30000000000000004 3.7995845467246676
5.1 1 0.0 8.36789302091603 0.0 8.648474293204877 0.0 2.3842705668450828
5.6 1 0.1 12.10639437528502 0.0 10.984123763616882 0.30000000000000004 7.1093640397261515
6.1 1 0.5 10.059510113164103 0.0 8.290458226983528 0.9219544457292888 4.476936947362338
6.6 1 0.0 11.282016289098365 0.0 10.593210124681235 0.0 3.770130171066006
7.1 1 0.2 10.514780856163021 0.0 9.260960628026156 0.4000000000000001 6.387787694177457
7.6 1 0.1 8.17741727434412 0.0 8.052016599178895 0.30000000000000004 2.278523304835333
8.1 1 0.0 7.555178070693573 0.0 5.5304331564747065 0.0 4.018321893648492
8.6 1 0.1 8.596582134281196 0.0 8.259550116325268 0.30000000000000004 2.359050703551509
9.1 1 0.1 9.251711717888957 0.0 6.535024427331706 0.30000000000000004 5.851197117427239
9.6 1 0.0 8.246014311694232 0.0 7.062559929108941 0.0 4.071877788078066
10.1 1 0.0 8.088382490478718 0.0 7.371043065573221 0.0 2.52942185104144
0.1 1.5 28.5 56.67518957099024 29.0 56.46285942072919 3.442382895611701 2.952692306732581
0.6 1.5 10.2 41.87912135122688 10.5 43.11517599101329 3.7094473981982814 7.518665197175279
1.1 1.5 6.6 34.53180266574772 6.5 35.89860144175398 2.1540659228538015 6.5687855178930485
1.6 1.5 4.0 26.0334474369652 4.5 25.62677471191661 2.280350850198276 11.906515830045045
2.1 1.5 3.0 16.587341586932304 2.5 19.364706816810955 1.5491933384829668 7.475491778390707
2.6 1.5 1.2 11.283581357027819 1.0 8.866651400803327 1.32664991614216 7.614140621179003
3.1 1.5 1.5 15.152282695892342 1.0 13.21345277344506 1.2041594578792296 8.5441941098568
3.6 1.5 0.9 10.823864210507033 0.0 9.39132167099809 1.7578395831246945 4.856703686795128
4.1 1.5 0.8 11.813330628187487 0.5 9.83354495086574 0.9797958971132713 5.796625742615635
4.6 1.5 0.2 8.206296633172144 0.0 7.397535731798969 0.4000000000000001 2.9331811544472393
5.1 1.5 0.6 14.947821803112053 0.0 11.631108719069516 0.9165151389911681 9.450394597167755
5.6 1.5 0.2 9.350881118800523 0.0 8.216915250545487 0.4000000000000001 4.355763497880297
6.1 1.5 0.2 10.434476481653515 0.0 8.510240109374223 0.4000000000000001 5.6571388460840835
6.6 1.5 0.4 20.035994791101253 0.0 9.840010342639506 0.66332495807108 26.95675066295496
7.1 1.5 0.1 11.606301446591303 0.0 8.810172680237784 0.30000000000000004 4.940280493784458
7.6 1.5 0.1 8.545796665053068 0.0 7.672278526867652 0.30000000000000004 3.1662490698524204
8.1 1.5 0.0 7.262230847766655 0.0 6.264841588415884 0.0 2.5068521401042436
8.6 1.5 0.1 13.256340178543827 0.0 11.978497369560309 0.30000000000000004 6.075057112072537
9.1 1.5 0.2 10.787235339828202 0.0 7.247864214194848 0.6000000000000001 8.102649015395354
9.6 1.5 0.0 12.714477771199764 0.0 10.40055446856604 0.0 7.759184770757778
10.1 1.5 0.1 9.993673285884942 0.0 7.814396705082094 0.30000000000000004 5.776355113886975
0.1 2 28.9 56.16229158706541 27.0 56.0991315944398 5.974110812497538 1.6951408509394943
0.6 2 10.8 37.62164504207505 10.0 36.73219178314224 3.1874754901018454 6.857749664877998
1.1 2 5.7 27.84361062682825 5.0 28.87079423663394 2.8301943396169813 7.147121149446677
1.6 2 3.2 25.55513806295479 3.5 24.8058541014956 1.7776388834631178 7.997682207903295
2.1 2 3.4 24.40363924795756 3.0 25.090257780810948 1.2806248474865698 7.085971486642083
2.6 2 2.4 17.507777941077666 2.0 18.398322160231697 1.2806248474865698 6.408405886836126
3.1 2 0.9 16.51524517545374 1.0 15.873700264579988 0.7000000000000001 6.304357127831968
3.6 2 0.5 11.721782373132324 0.0 9.668444115103778 0.806225774829855 5.2723969645867195
4.1 2 0.8 15.592977652031346 0.5 12.522135906825042 0.9797958971132713 9.786967569565357
4.6 2 0.3 9.846456411392957 0.0 9.639161949328397 0.6403124237432849 3.04249973910341
5.1 2 0.3 9.19331274160683 0.0 8.265869096196024 0.45825756949558394 3.7844474041552743
5.6 2 0.7 12.508400265282066 0.5 11.221335392734964 0.7810249675906655 5.737149735780739
6.1 2 0.6 12.576330773184434 0.0 7.883807132361568 0.8 8.407287351125998
6.6 2 0.5 9.116025258900006 0.0 9.288093863762603 0.806225774829855 2.6198636730599367
7.1 2 0.5 12.242589126850456 0.5 8.830398540063928 0.5 6.994723853880829
7.6 2 0.8 13.717733070242835 1.0 14.156446973466823 0.7483314773547883 5.320428134825224
8.1 2 0.2 10.453330829999661 0.0 9.797713118904092 0.4000000000000001 4.746481806423853
8.6 2 0.7 10.15372353647769 1.0 8.325581941109304 0.6403124237432849 4.711718723806305
9.1 2 0.5 9.844102443039136 0.0 7.75650724990531 0.9219544457292888 5.316693033497384
9.6 2 0.4 10.263190185101273 0.0 8.533272065397917 0.66332495807108 6.832946208212965
10.1 2 0.3 9.905972453478968 0.0 9.796315524730442 0.45825756949558405 2.9642565488945487
0.1 2.5 26.4 58.868625470374084 29.0 58.01571464735796 7.787168933572714 4.964498488019939
0.6 2.5 9.6 35.480881910184856 10.5 33.86582493052768 3.8000000000000003 8.197337478753616
1.1 2.5 4.8 32.08256345807266 4.5 30.540155013680376 2.3151673805580453 9.484067114351792
1.6 2.5 5.1 24.82822131596591 4.5 26.324525450622595 1.972308292331602 8.533097235604044
2.1 2.5 2.9 20.20584679612906 3.0 21.70971774972199 1.374772708486752 6.251977589631751
